1.234 -7,49 -1,81 2 4 4 -8,89 0 0 -10,00 1 2 -9,00 -9,76 0
0 -5,56 -7,83 1 14 8 -8,22 1 1 -9,70 0 2 -9,30 -10,00 1
1 -4,49 -7,14 2 7 4 -8,25 1 0 -10,00 1 2 -6,40 -10,00 1
1 -7,77 -9,38 1 8 8 -9,82 0 0 -10,00 0 2 -7,20 -9,96 0
1 -3,86 -3,45 2 8 4 -6,84 1 1 -6,42 1 2 -10,00 -9,96 1
1 -1,13 8,01 2 11 8 -9,85 1 1 -9,70 0 2 -2,40 -9,98 0
0 -2,63 -5,71 2 4 4 -9,30 1 0 -10,00 1 2 -10,00 -10,00 1
1 -2,88 -8,54 2 9 4 -9,97 1 0 -10,00 1 2 -6,00 -8,84 1
1 -5,16 -8,54 1 14 8 -9,97 0 0 -10,00 0 2 -8,72 -10,00 0
1 -2,91 -8,10 2 13 4 -9,88 0 0 -10,00 1 2 -10,00 -9,90 0
1 -4,71 3,93 2 8 4 -5,09 1 1 -5,22 0 2 -10,00 -9,00 1
1 -3,28 -8,19 2 1 1 -10,00 0 0 -10,00 0 2 -10,00 -9,80 0
1 -7,97 -8,28 2 8 4 -8,60 1 1 -6,72 1 2 -8,00 -9,40 1
1 0,05 -5,84 2 9 4 -6,14 0 0 -10,00 0 2 -5,35 -9,97 0
1 -7,52 -4,41 1 3 5 -9,88 0 0 -10,00 1 2 -8,16 -10,00 0
1 -7,97 -2,86 1 8 4 -8,25 1 0 -10,00 0 1 -9,60 -10,00 1
1 -3,63 -8,21 2 9 4 -10,00 1 0 -10,00 1 2 -7,61 -9,96 1
1 -6,89 -9,38 2 7 4 -9,94 0 1 -8,81 0 2 -7,46 -9,61 0
1 -2,91 -5,36 2 7 8 -7,02 1 1 -6,42 1 2 -9,07 -10,00 1
0 -7,89 -3,19 2 3 4 -9,97 0 0 -10,00 0 2 -8,00 -9,80 0
1 -3,11 -7,68 2 11 8 -3,68 1 0 -10,00 1 2 -8,98 -9,87 1
1 -7,34 -2,84 2 14 4 -9,97 1 1 -7,31 0 2 -9,40 -9,92 1
0 -6,04 -0,36 2 11 8 -6,49 1 1 -9,40 0 2 -10,00 -9,00 1
0 -0,10 -9,67 2 13 8 -9,71 1 1 -6,72 1 2 -5,60 -10,00 1
0 1,55 -10,00 1 1 1 -10,00 0 0 -10,00 0 2 -10,00 -10,00 0
1 -2,35 -8,21 1 3 8 -2,98 0 0 -10,00 1 1 -8,00 -10,00 0
1 -2,35 -8,84 2 8 4 -8,95 1 1 -7,01 0 2 -8,14 -9,06 1
0 -5,81 -8,54 2 9 4 -9,82 0 0 -10,00 1 2 -8,20 -9,99 0
1 -8,37 -3,21 2 9 4 -8,95 1 0 -10,00 0 2 -8,80 -9,56 1
1 -2,26 -6,96 2 8 5 -5,44 1 1 -5,22 0 2 -8,83 -9,76 1
1 -3,18 -9,46 1 2 4 -9,59 0 0 -10,00 0 2 -7,60 -10,00 0
1 -6,26 -9,82 2 3 5 -10,00 1 0 -10,00 1 2 -10,00 -10,00 1
1 -2,28 -8,78 1 7 4 -9,88 0 0 -10,00 0 1 -6,00 -10,00 0
1 -1,53 -9,70 2 8 8 -9,85 1 1 -8,21 0 2 -7,80 -9,81 1
1 -7,72 -4,64 2 6 4 -9,01 1 1 -9,70 0 2 -9,20 -8,04 1
0 -8,10 -9,11 2 8 4 -10,00 0 0 -10,00 0 2 -10,00 -10,00 0
0 -5,84 -7,86 2 7 4 -8,04 0 1 -9,70 1 2 -7,20 -10,00 0
1 -7,65 -9,44 1 13 4 -9,53 0 0 -10,00 0 2 -8,40 -10,00 0
1 -5,64 -6,34 2 14 4 -6,67 1 1 -9,40 0 2 -5,80 -10,00 1
1 -6,04 -8,39 2 3 5 -9,65 0 0 -10,00 1 2 -3,60 -9,20 0
0 -8,60 -3,39 2 11 4 -9,15 1 1 -8,81 0 2 -9,40 -9,89 1
0 -7,14 -5,81 2 11 4 -7,78 1 1 -7,01 0 2 -8,80 -9,95 1
1 -7,04 -8,72 2 8 4 -9,62 0 0 -10,00 1 2 -8,64 -10,00 0
1 -5,62 -6,43 2 9 4 -2,28 1 0 -10,00 1 2 -9,30 -10,00 1
1 -6,42 -8,42 1 6 4 -7,19 1 0 -10,00 0 2 -8,12 -10,00 0
0 -5,54 -8,81 2 11 4 -8,31 1 0 -10,00 1 2 -5,60 -10,00 0
1 -7,24 -7,74 1 8 4 -9,88 0 0 -10,00 0 2 -8,40 -9,79 0
0 -6,77 -9,26 1 1 1 -9,65 1 1 -9,10 0 2 -8,20 -9,97 0
1 -6,69 -9,61 2 7 4 -9,30 0 0 -10,00 1 2 -8,80 -10,00 0
1 -4,51 -8,75 1 10 8 -9,97 1 0 -10,00 1 2 -6,07 -10,00 1
1 0,32 -7,32 2 3 5 -9,30 0 0 -10,00 0 2 -9,00 -10,00 0
0 -5,59 -7,50 2 9 4 -9,41 1 0 -10,00 0 1 -7,20 -10,00 1
1 -6,49 -9,61 2 9 4 -9,88 0 1 -9,70 0 2 -7,28 -9,91 0
1 -8,55 -2,65 2 1 1 -9,71 0 0 -10,00 0 2 -9,20 -10,00 0
1 -7,62 -9,17 1 4 4 -8,25 1 1 -9,70 0 2 -8,20 -10,00 0
1 -6,74 -9,11 2 8 4 -9,82 0 0 -10,00 0 2 -8,90 -10,00 0
1 -9,23 -7,09 2 3 8 -9,71 0 0 -10,00 1 2 -8,80 -10,00 0
1 -6,09 -8,57 2 2 4 -9,47 0 0 -10,00 1 2 -9,20 -10,00 0
1 0,35 -7,50 2 6 4 -7,54 1 0 -10,00 0 1 -7,70 -10,00 1
1 -7,07 -8,04 2 1 1 -6,84 0 0 -10,00 0 2 -8,40 -10,00 0
0 -1,80 -8,54 1 11 8 -9,91 1 1 -3,13 1 2 -5,45 -9,75 1
1 -3,56 7,94 2 14 8 -8,86 1 1 -9,70 1 2 -4,85 -9,90 1
1 -6,99 -1,43 2 8 4 -8,54 0 0 -10,00 0 1 -9,20 -10,00 0
1 -8,52 -6,43 2 11 4 -9,74 1 1 -9,40 0 2 -10,00 -9,99 0
1 -5,01 -9,64 2 2 8 -9,94 0 0 -10,00 1 1 -7,48 -10,00 0
0 -8,20 -9,46 2 8 4 -9,44 1 1 -8,51 1 2 -8,60 -10,00 0
1 -6,26 -9,41 2 13 4 -9,18 0 0 -10,00 0 2 -9,00 -10,00 0
1 -5,49 -8,93 1 8 4 -8,95 1 0 -10,00 1 2 -10,00 -9,96 0
1 -5,51 -3,34 2 11 8 -6,02 1 1 -8,21 0 2 -6,19 -9,97 1
1 -6,32 -9,29 2 11 4 -8,77 1 0 -10,00 1 2 -7,20 -10,00 1
1 -7,07 -7,74 1 4 4 -9,71 0 1 -9,70 1 2 -7,20 -9,98 0
1 -6,22 -0,71 2 10 2 -10,00 0 0 -10,00 1 2 -8,60 -9,78 0
1 2,20 -5,18 2 8 8 -8,16 1 1 -6,72 1 2 -10,00 -9,94 1
1 -4,64 -9,74 2 2 4 -9,39 1 0 -10,00 1 1 -0,72 -10,00 0
0 -6,54 -1,07 2 2 4 -9,30 0 0 -10,00 1 2 -8,20 -9,79 0
1 -4,16 -7,74 1 14 4 -7,78 1 1 -9,10 1 2 -6,20 -10,00 1
1 -2,26 -8,84 2 8 4 -8,95 0 0 -10,00 0 2 -10,00 -9,94 0
0 -8,82 -10,00 1 5 1 -10,00 0 0 -10,00 0 2 -9,14 -10,00 0
1 -6,94 -9,53 2 8 4 -9,88 0 0 -10,00 0 2 -9,00 -10,00 1
1 -6,11 -8,06 1 13 4 -6,32 1 1 -9,70 0 2 -7,89 -10,00 1
0 -7,37 -9,71 2 3 4 -9,76 0 0 -10,00 1 1 -8,56 -10,00 0
1 -2,13 -9,61 1 6 4 -9,65 1 1 -9,10 0 2 -8,00 -9,80 1
0 -6,29 -3,81 2 6 4 -9,01 1 0 -10,00 0 2 -8,40 -9,97 1
1 -8,12 -10,00 2 2 4 -9,65 0 0 -10,00 0 2 -8,56 -10,00 0
1 -4,64 -7,14 1 3 4 -9,94 0 0 -10,00 1 2 -5,89 -10,00 0
1 -6,09 -6,79 1 8 5 -8,25 0 0 -10,00 0 2 -8,00 -9,76 0
0 -6,64 -9,11 2 1 1 -10,00 1 0 -10,00 0 2 -9,20 -10,00 0
0 -4,44 -8,93 2 8 4 -9,82 0 0 -10,00 1 2 -6,28 -9,98 0
1 -8,82 -6,81 2 8 4 -9,82 0 0 -10,00 0 1 -9,20 -10,00 0
0 -2,78 -6,07 2 11 4 -9,91 1 0 -10,00 1 2 -7,72 -10,00 1
1 -7,32 -8,19 1 8 8 -8,19 1 0 -10,00 0 2 -10,00 -10,00 1
0 -8,75 -2,71 2 1 1 -10,00 0 0 -10,00 0 2 -10,00 -9,99 0
1 -6,79 -1,19 2 11 8 -8,89 1 0 -10,00 1 2 -8,80 -10,00 1
0 -6,39 -9,64 2 8 8 -9,39 1 0 -10,00 1 2 -5,09 -10,00 1
1 -6,26 -1,07 1 4 8 -9,12 0 0 -10,00 1 2 -10,00 -10,00 0
0 -7,29 -5,60 2 6 4 -9,88 0 0 -10,00 0 2 -7,80 -9,80 0
1 -7,22 -9,46 2 7 4 -9,65 1 0 -10,00 1 1 -6,80 -10,00 0
1 -6,42 -9,80 1 8 4 -8,95 0 0 -10,00 1 2 -8,40 -10,00 0
1 0,48 -9,86 1 4 4 -9,82 1 1 -6,72 0 2 -6,20 -9,45 1
1 -7,77 -10,00 2 8 4 -9,65 0 0 -10,00 1 1 -10,00 -10,00 0
1 -3,53 1,79 1 8 4 -7,19 1 0 -10,00 0 2 -9,20 -10,00 0
0 -7,24 -1,73 2 13 4 -9,97 1 0 -10,00 0 2 -9,20 -9,73 1
0 0,35 -9,05 2 3 7 -9,76 0 0 -10,00 0 2 -10,00 -9,98 0
1 -1,20 -9,80 1 13 8 -8,77 1 1 -7,61 0 2 -9,00 -9,93 1
1 -4,64 -2,50 2 14 4 -5,44 1 0 -10,00 0 2 -10,00 -10,00 1
1 -7,92 -9,71 2 8 4 -9,91 0 0 -10,00 0 2 -10,00 -9,99 0
0 -8,48 -3,19 2 6 4 -9,94 1 0 -10,00 0 2 -9,00 -10,00 1
0 -5,89 0,36 2 14 8 -7,84 1 1 -9,70 0 2 -8,80 -10,00 1
1 -1,80 -9,97 2 10 4 -9,97 0 1 -9,70 0 1 -4,40 -10,00 1
